t_sec,xVest_m,yVest_m,zVest_m,omegaXVest_degPSec,omegaYVest_degPSec,omegaZVest_degPSec,xVis_m,yVis_m,zVis_m,xVisDot_mPSec,yVisDot_mPSec,zVisDot_mPSec,omegaXVis_degPSec,omegaYVis_degPSec,omegaZVis_degPSec,g_xvis,g_yvis,g_zvis,g,Pos ON,Vel ON,AngVel ON,G ON,Sickness,thetaXVest_deg,thetaYVest_deg,thetaZVest_deg,thetaXVis_deg,thetaYVis_deg,thetaZVis_deg
0.0199473,-0.3354967,-0.554906,1.069044,-3.428529,-1.414968,0.7381817,0.2774323,0.4153749,-1.589044,0.002898854,-0.01297846,-0.007291393,3.428529,1.414968,-0.7381817,0, 0, -1, 1, 1, 1, 1, 1,0,7.000244,-0.01556396,-114.6681,7.000244,-0.01556396,-114.6681
0.0418878,-0.3355584,-0.5547067,1.069167,-1.898612,-0.4729143,0.2176797,0.277494,0.4151757,-1.589167,-0.001048207,-0.009534956,-0.00490582,1.898612,0.4729143,-0.2176797,0, 0, -1, 1, 1, 1, 1, 1,0,6.958588,-0.02593994,-114.6633,6.958588,-0.02593994,-114.6633
0.0528587,-0.3355367,-0.5546222,1.069147,-0.317112,-2.069573,-1.806704,0.2774723,0.4150912,-1.589147,-0.001926154,-0.007524204,0.001729824,0.317112,2.069573,1.806704,0, 0, -1, 1, 1, 1, 1, 1,0,6.955109,-0.04864502,-114.6831,6.955109,-0.04864502,-114.6831
0.063829,-0.3355173,-0.5544953,1.06919,1.043189,-0.6064403,-0.3783297,0.277453,0.4149643,-1.58919,-0.001742559,-0.0114151,-0.003860439,-1.043189,0.6064403,0.3783297,0, 0, -1, 1, 1, 1, 1, 1,0,6.966553,-0.05529785,-114.6873,6.966553,-0.05529785,-114.6873
0.0748002,-0.3355107,-0.5543936,1.069258,-0.2586896,-0.8567353,-0.7732871,0.2774463,0.4148626,-1.589258,-0.0005974922,-0.009101086,-0.006060278,0.2586896,0.8567353,0.7732871,0, 0, -1, 1, 1, 1, 1, 1,0,6.963715,-0.06469727,-114.6958,6.963715,-0.06469727,-114.6958
0.0857702,-0.3355414,-0.5542929,1.069308,-1.326972,-1.01818,-1.8917,0.277477,0.4147619,-1.589308,0.002770497,-0.00907734,-0.004492988,1.326972,1.01818,1.8917,0, 0, -1, 1, 1, 1, 1, 1,0,6.949158,-0.0758667,-114.7165,6.949158,-0.0758667,-114.7165
0.0975447,-0.3355033,-0.55418,1.069313,1.293326,-2.762898,-1.723571,0.2774389,0.414649,-1.589313,-0.003413948,-0.01011896,-0.0004487819,-1.293326,2.762898,1.723571,0, 0, -1, 1, 1, 1, 1, 1,0,6.964386,-0.1083984,-114.7368,6.964386,-0.1083984,-114.7368
0.1085157,-0.3354873,-0.5540717,1.069384,0.7371395,0.481227,-0.3776101,0.2774229,0.4145407,-1.589384,-0.001393808,-0.009432215,-0.006229311,-0.7371395,-0.481227,0.3776101,0, 0, -1, 1, 1, 1, 1, 1,0,6.972473,-0.1031189,-114.741,6.972473,-0.1031189,-114.741
0.1194854,-0.3354806,-0.5539191,1.069428,0.8540704,0.7817387,-1.98008,0.2774162,0.4143881,-1.589428,-0.0006134858,-0.01396021,-0.003991748,-0.8540704,-0.7817387,1.98008,0, 0, -1, 1, 1, 1, 1, 1,0,6.981842,-0.09454346,-114.7627,6.981842,-0.09454346,-114.7627
0.1304567,-0.3354,-0.5537853,1.069414,1.527089,-1.607755,-1.627226,0.2773357,0.4142542,-1.589414,-0.007224012,-0.01200528,0.001261463,-1.527089,1.607755,1.627226,0, 0, -1, 1, 1, 1, 1, 1,0,6.998596,-0.1121826,-114.7805,6.998596,-0.1121826,-114.7805
0.142425,-0.3353478,-0.5537026,1.069464,1.667613,-0.9358014,-0.7324494,0.2772834,0.4141716,-1.589464,-0.004691361,-0.007423752,-0.004506704,-1.667613,0.9358014,0.7324494,0, 0, -1, 1, 1, 1, 1, 1,0,7.018555,-0.1233826,-114.7893,7.018555,-0.1233826,-114.7893
0.1533951,-0.3353224,-0.5534809,1.069489,0.2058596,-0.5257766,-0.5695913,0.277258,0.4139498,-1.589489,-0.002287541,-0.01992893,-0.002260755,-0.2058596,0.5257766,0.5695913,0, 0, -1, 1, 1, 1, 1, 1,0,7.020813,-0.1291504,-114.7955,7.020813,-0.1291504,-114.7955
0.1643659,-0.3353249,-0.5533619,1.069535,0.1557757,-0.1808111,-1.379728,0.2772606,0.4138309,-1.589535,0.0002281874,-0.01047039,-0.00404967,-0.1557757,0.1808111,1.379728,0, 0, -1, 1, 1, 1, 1, 1,0,7.022522,-0.131134,-114.8107,7.022522,-0.131134,-114.8107
0.1753366,-0.3352858,-0.553198,1.069563,-0.6843068,0.3894429,-1.476406,0.2772214,0.413667,-1.589563,-0.003570883,-0.014958,-0.002567337,0.6843068,-0.3894429,1.476406,0, 0, -1, 1, 1, 1, 1, 1,0,7.015015,-0.1268616,-114.8269,7.015015,-0.1268616,-114.8269
0.186307,-0.3352288,-0.5530595,1.06961,0.2197631,0.5257623,-0.4708215,0.2771644,0.4135284,-1.58961,-0.005105569,-0.01240496,-0.004206156,-0.2197631,-0.5257623,0.4708215,0, 0, -1, 1, 1, 1, 1, 1,0,7.017426,-0.1210938,-114.832,7.017426,-0.1210938,-114.832
0.1978597,-0.3351948,-0.5529293,1.069627,-1.529485,-1.590241,-0.01320799,0.2771304,0.4133983,-1.589627,-0.002989428,-0.01144419,-0.001467204,1.529485,1.590241,0.01320799,0, 0, -1, 1, 1, 1, 1, 1,0,6.999756,-0.1394653,-114.8322,6.999756,-0.1394653,-114.8322
0.2088308,-0.3350713,-0.5528517,1.069745,-1.872039,-1.894292,0.4012506,0.2770069,0.4133207,-1.589745,-0.01124693,-0.007065621,-0.01072325,1.872039,1.894292,-0.4012506,0, 0, -1, 1, 1, 1, 1, 1,0,6.979218,-0.1602478,-114.8278,6.979218,-0.1602478,-114.8278
0.2198013,-0.3349921,-0.5527791,1.069836,-3.268598,-2.481353,0.7844635,0.2769278,0.4132481,-1.589836,-0.007055109,-0.006473162,-0.008184458,3.268598,2.481353,-0.7844635,0, 0, -1, 1, 1, 1, 1, 1,0,6.943359,-0.1874695,-114.8192,6.943359,-0.1874695,-114.8192
0.2307718,-0.3348594,-0.5526707,1.069913,-2.428499,-2.642696,1.171827,0.2767951,0.4131397,-1.589913,-0.01185491,-0.009679864,-0.0068792,2.428499,2.642696,-1.171827,0, 0, -1, 1, 1, 1, 1, 1,0,6.916718,-0.2164612,-114.8063,6.916718,-0.2164612,-114.8063
0.2427402,-0.3347193,-0.5526183,1.070077,-0.02804831,-1.522258,1.273648,0.2766549,0.4130872,-1.590077,-0.01241455,-0.004646877,-0.01446868,0.02804831,1.522258,-1.273648,0, 0, -1, 1, 1, 1, 1, 1,0,6.916382,-0.2346802,-114.7911,6.916382,-0.2346802,-114.7911
0.2537104,-0.3345975,-0.552632,1.070189,0.2142033,-3.577474,0.6676468,0.2765332,0.413101,-1.590189,-0.01068356,0.00120798,-0.009852094,-0.2142033,3.577474,-0.6676468,0, 0, -1, 1, 1, 1, 1, 1,0,6.918732,-0.2739258,-114.7838,6.918732,-0.2739258,-114.7838
0.2646812,-0.3344141,-0.5526201,1.070324,4.016788,-3.858231,0.6015447,0.2763498,0.413089,-1.590324,-0.01674765,-0.001094013,-0.01230084,-4.016788,3.858231,-0.6015447,0, 0, -1, 1, 1, 1, 1, 1,0,6.962799,-0.3162537,-114.7772,6.962799,-0.3162537,-114.7772
0.2756518,-0.334194,-0.5526417,1.070522,8.042068,-2.253226,0.6099009,0.2761296,0.4131107,-1.590522,-0.01969877,0.001936272,-0.01770916,-8.042068,2.253226,-0.6099009,0, 0, -1, 1, 1, 1, 1, 1,0,7.051025,-0.3409729,-114.7705,7.051025,-0.3409729,-114.7705
0.2876202,-0.3339381,-0.5527477,1.070708,8.78167,-3.743174,-0.2639091,0.2758737,0.4132167,-1.590708,-0.02300213,0.009529758,-0.01672395,-8.78167,3.743174,0.2639091,0, 0, -1, 1, 1, 1, 1, 1,0,7.156128,-0.3857727,-114.7736,7.156128,-0.3857727,-114.7736
0.2985997,-0.3336782,-0.5528947,1.070897,8.788795,-5.767474,-0.3446587,0.2756138,0.4133636,-1.590897,-0.02357018,0.01332427,-0.01714588,-8.788795,5.767474,0.3446587,0, 0, -1, 1, 1, 1, 1, 1,0,7.252625,-0.4490967,-114.7774,7.252625,-0.4490967,-114.7774
0.3095713,-0.3333305,-0.5530425,1.071089,6.817472,-4.592268,1.769734,0.2752661,0.4135115,-1.591089,-0.03056709,0.01300025,-0.01691447,-6.817472,4.592268,-1.769734,0, 0, -1, 1, 1, 1, 1, 1,0,7.327423,-0.4994812,-114.758,7.327423,-0.4994812,-114.758
0.3205412,-0.3329411,-0.553196,1.071237,4.988014,-3.91975,2.273539,0.2748767,0.4136649,-1.591237,-0.03535062,0.01393026,-0.01341072,-4.988014,3.91975,-2.273539,0, 0, -1, 1, 1, 1, 1, 1,0,7.382141,-0.5424805,-114.7331,7.382141,-0.5424805,-114.7331
0.331512,-0.3324931,-0.5534194,1.071352,4.322776,-4.400664,2.523706,0.2744287,0.4138883,-1.591352,-0.03998592,0.01993844,-0.01029904,-4.322776,4.400664,-2.523706,0, 0, -1, 1, 1, 1, 1, 1,0,7.429565,-0.5907593,-114.7054,7.429565,-0.5907593,-114.7054
0.3434804,-0.3320475,-0.5536985,1.071478,0.6731594,-3.80437,4.385098,0.2739832,0.4141675,-1.591478,-0.03999448,0.0250544,-0.01129936,-0.6731594,3.80437,-4.385098,0, 0, -1, 1, 1, 1, 1, 1,0,7.437622,-0.6362915,-114.6529,7.437622,-0.6362915,-114.6529
0.3544504,-0.3315887,-0.5539805,1.071528,-1.969594,-4.097757,4.89547,0.2735244,0.4144495,-1.591528,-0.04127919,0.02537246,-0.004483487,1.969594,4.097757,-4.89547,0, 0, -1, 1, 1, 1, 1, 1,0,7.416016,-0.6812439,-114.5992,7.416016,-0.6812439,-114.5992
