Time,Head_X,Head_Y,Head_Z,Head_A,Head_B,Head_C,Body_X,Body_Y,Body_Z,Body_A,Body_B,Body_C,Event,Event_ID,Target_ID,Total_Head_Distance,Total_Head_Rotation,Total_Body_Distance,Total_Body_Rotation,Total_Balls,Total_Visits,Total_Revisits
0.00,0.092,1.069,-0.096,0.013,114.683,352.931,-0.284,0.912,0.135,11.574,304.543,1.652,Finding,0,-1,0.000,0.000,0.000,0.000,0,0,0
9.96,0.416,1.589,-0.277,0.003,114.672,352.964,0.040,1.432,-0.046,11.578,304.548,1.648,Finding,0,-1,0.639,0.000,0.639,0.000,0,0,0
20.73,0.415,1.589,-0.277,359.984,114.668,353.000,0.040,1.432,-0.046,11.556,304.566,1.652,Finding,0,-1,0.639,0.000,0.639,0.000,0,0,0
31.13,0.415,1.589,-0.278,359.979,114.663,353.017,0.040,1.432,-0.046,11.565,304.552,1.658,Finding,0,-1,0.639,0.000,0.639,0.000,0,0,0
42.33,0.415,1.589,-0.277,359.974,114.663,353.041,0.040,1.432,-0.046,11.574,304.547,1.652,Finding,0,-1,0.639,0.000,0.639,0.000,0,0,0
53.57,0.415,1.589,-0.277,359.951,114.683,353.045,0.040,1.432,-0.046,11.562,304.553,1.652,Finding,0,-1,0.640,0.000,0.639,0.000,0,0,0
64.68,0.415,1.589,-0.277,359.945,114.687,353.033,0.040,1.432,-0.046,11.556,304.571,1.653,Finding,0,-1,0.640,0.000,0.639,0.000,0,0,0
75.85,0.415,1.589,-0.277,359.935,114.696,353.036,0.040,1.432,-0.046,11.569,304.557,1.648,Finding,0,-1,0.640,0.000,0.639,0.000,0,0,0
86.94,0.415,1.589,-0.277,359.924,114.717,353.051,0.040,1.432,-0.046,11.565,304.543,1.647,Finding,0,-1,0.640,0.000,0.639,0.000,0,0,0
98.10,0.415,1.589,-0.277,359.892,114.737,353.036,0.040,1.432,-0.046,11.548,304.550,1.647,Finding,0,-1,0.640,0.000,0.640,0.000,0,0,0
109.58,0.415,1.589,-0.277,359.897,114.741,353.028,0.040,1.432,-0.046,11.555,304.557,1.641,Finding,0,-1,0.640,0.000,0.640,0.000,0,0,0
120.51,0.414,1.589,-0.277,359.906,114.763,353.018,0.040,1.432,-0.046,11.565,304.553,1.643,Finding,0,-1,0.640,0.000,0.640,0.000,0,0,0
131.66,0.414,1.589,-0.277,359.888,114.781,353.001,0.040,1.432,-0.046,11.564,304.555,1.639,Finding,0,-1,0.641,0.000,0.640,0.000,0,0,0
142.80,0.414,1.589,-0.277,359.877,114.789,352.981,0.040,1.432,-0.046,11.551,304.540,1.639,Finding,0,-1,0.641,0.000,0.640,0.000,0,0,0
153.92,0.414,1.589,-0.277,359.871,114.796,352.979,0.040,1.432,-0.046,11.549,304.537,1.633,Finding,0,-1,0.641,0.000,0.640,0.000,0,0,0
165.29,0.414,1.590,-0.277,359.869,114.811,352.978,0.040,1.432,-0.046,11.564,304.546,1.629,Finding,0,-1,0.641,0.000,0.640,0.000,0,0,0
176.25,0.414,1.590,-0.277,359.873,114.827,352.985,0.040,1.432,-0.046,11.566,304.547,1.625,Finding,0,-1,0.641,0.000,0.640,0.000,0,0,0
187.42,0.414,1.590,-0.277,359.879,114.832,352.983,0.040,1.432,-0.046,11.560,304.546,1.625,Finding,0,-1,0.641,0.000,0.640,0.000,0,0,0
198.79,0.413,1.590,-0.277,359.861,114.832,353.000,0.040,1.432,-0.046,11.559,304.540,1.621,Finding,0,-1,0.641,0.000,0.640,0.000,0,0,0
209.77,0.413,1.590,-0.277,359.840,114.828,353.021,0.040,1.432,-0.046,11.581,304.540,1.620,Finding,0,-1,0.642,0.000,0.640,0.000,0,0,0
220.99,0.413,1.590,-0.277,359.813,114.819,353.057,0.040,1.432,-0.046,11.558,304.532,1.618,Finding,0,-1,0.642,0.000,0.640,0.000,0,0,0
232.18,0.413,1.590,-0.277,359.784,114.806,353.083,0.040,1.432,-0.046,11.546,304.522,1.613,Finding,0,-1,0.642,0.000,0.640,0.000,0,0,0
243.47,0.413,1.590,-0.277,359.765,114.791,353.084,0.040,1.432,-0.046,11.566,304.515,1.615,Finding,0,-1,0.642,0.000,0.640,0.000,0,0,0
254.87,0.413,1.590,-0.277,359.726,114.784,353.081,0.040,1.432,-0.046,11.566,304.511,1.611,Finding,0,-1,0.642,0.000,0.640,0.000,0,0,0
265.82,0.413,1.590,-0.276,359.684,114.777,353.037,0.040,1.432,-0.046,11.553,304.518,1.612,Finding,0,-1,0.643,0.000,0.640,0.000,0,0,0
276.99,0.413,1.591,-0.276,359.659,114.771,352.949,0.040,1.432,-0.046,11.557,304.506,1.608,Finding,0,-1,0.643,0.000,0.640,0.000,0,0,0
288.12,0.413,1.591,-0.276,359.614,114.774,352.844,0.040,1.433,-0.046,11.548,304.484,1.602,Finding,0,-1,0.643,0.000,0.641,0.000,0,0,0
299.15,0.413,1.591,-0.276,359.551,114.777,352.747,0.040,1.433,-0.046,11.514,304.475,1.603,Finding,0,-1,0.644,0.000,0.641,0.000,0,0,0
310.52,0.414,1.591,-0.275,359.501,114.758,352.673,0.041,1.433,-0.047,11.499,304.461,1.596,Finding,0,-1,0.644,0.000,0.641,0.000,0,0,0
321.53,0.414,1.591,-0.275,359.458,114.733,352.618,0.041,1.433,-0.047,11.503,304.441,1.591,Finding,0,-1,0.644,0.000,0.641,0.000,0,0,0
332.74,0.414,1.591,-0.274,359.409,114.705,352.570,0.041,1.433,-0.047,11.491,304.432,1.595,Finding,0,-1,0.645,0.000,0.641,0.000,0,0,0
343.88,0.414,1.591,-0.274,359.364,114.653,352.562,0.041,1.433,-0.047,11.471,304.414,1.582,Finding,0,-1,0.645,0.000,0.641,0.000,0,0,0
355.00,0.414,1.592,-0.274,359.319,114.599,352.584,0.041,1.433,-0.047,11.438,304.393,1.576,Finding,0,-1,0.646,0.000,0.641,0.000,0,0,0
366.26,0.415,1.592,-0.273,359.286,114.522,352.651,0.041,1.433,-0.047,11.452,304.385,1.571,Finding,0,-1,0.647,0.000,0.641,0.000,0,0,0
377.51,0.415,1.592,-0.273,359.262,114.437,352.738,0.041,1.433,-0.047,11.447,304.383,1.569,Finding,0,-1,0.647,0.000,0.642,0.000,0,0,0
388.70,0.415,1.591,-0.272,359.269,114.341,352.870,0.041,1.433,-0.047,11.422,304.374,1.568,Finding,0,-1,0.648,0.000,0.642,0.000,0,0,0
399.87,0.416,1.591,-0.272,359.287,114.238,353.009,0.041,1.433,-0.047,11.432,304.358,1.562,Finding,0,-1,0.648,0.105,0.642,0.000,0,0,0
411.22,0.416,1.591,-0.272,359.347,114.122,353.197,0.041,1.433,-0.047,11.439,304.349,1.552,Finding,0,-1,0.649,0.234,0.642,0.000,0,0,0
422.58,0.417,1.591,-0.271,359.437,113.996,353.383,0.041,1.433,-0.047,11.446,304.360,1.550,Finding,0,-1,0.649,0.388,0.642,0.000,0,0,0
433.87,0.417,1.591,-0.271,359.524,113.882,353.565,0.041,1.433,-0.046,11.452,304.386,1.554,Finding,0,-1,0.650,0.530,0.642,0.000,0,0,0
445.02,0.417,1.591,-0.270,359.642,113.748,353.768,0.041,1.432,-0.046,11.481,304.411,1.554,Finding,0,-1,0.650,0.708,0.642,0.000,0,0,0
456.24,0.417,1.591,-0.270,359.766,113.599,353.972,0.041,1.432,-0.046,11.483,304.429,1.547,Finding,0,-1,0.651,0.902,0.643,0.000,0,0,0
467.45,0.418,1.590,-0.270,359.875,113.447,354.135,0.041,1.432,-0.046,11.492,304.465,1.550,Finding,0,-1,0.651,1.090,0.643,0.000,0,0,0
478.71,0.418,1.590,-0.270,0.003,113.297,354.289,0.040,1.432,-0.046,11.518,304.504,1.555,Finding,0,-1,0.651,1.288,0.643,0.000,0,0,0
489.78,0.418,1.590,-0.269,0.132,113.135,354.408,0.041,1.432,-0.046,11.508,304.510,1.563,Finding,0,-1,0.652,1.494,0.643,0.000,0,0,0
500.83,0.418,1.590,-0.269,0.273,112.989,354.512,0.040,1.432,-0.045,11.494,304.515,1.566,Finding,0,-1,0.652,1.696,0.643,0.000,0,0,0
512.12,0.418,1.590,-0.269,0.403,112.822,354.610,0.040,1.432,-0.045,11.497,304.531,1.584,Finding,0,-1,0.652,1.907,0.643,0.000,0,0,0
523.46,0.418,1.590,-0.268,0.518,112.628,354.736,0.040,1.432,-0.045,11.514,304.574,1.593,Finding,0,-1,0.653,2.132,0.643,0.000,0,0,0
534.07,0.418,1.590,-0.268,0.589,112.412,354.850,0.040,1.432,-0.045,11.514,304.615,1.600,Finding,0,-1,0.653,2.357,0.644,0.000,0,0,0
545.25,0.418,1.590,-0.267,0.621,112.163,354.977,0.040,1.432,-0.045,11.514,304.628,1.616,Finding,0,-1,0.654,2.607,0.644,0.000,0,0,0
556.40,0.418,1.590,-0.267,0.602,111.848,355.091,0.040,1.432,-0.045,11.523,304.649,1.622,Finding,0,-1,0.654,2.923,0.644,0.000,0,0,0
567.57,0.418,1.590,-0.267,0.563,111.501,355.211,0.040,1.432,-0.045,11.537,304.684,1.637,Finding,0,-1,0.654,3.272,0.644,0.000,0,0,0
578.72,0.418,1.590,-0.266,0.501,111.064,355.334,0.040,1.432,-0.045,11.556,304.723,1.650,Finding,0,-1,0.655,3.712,0.644,0.000,0,0,0
589.79,0.418,1.590,-0.266,0.421,110.577,355.427,0.040,1.432,-0.045,11.561,304.746,1.670,Finding,0,-1,0.656,4.206,0.644,0.000,0,0,0
